ts,record_id,market_index,peg_multiplier_before,base_asset_reserve_before,quote_asset_reserve_before,sqrt_k_before,peg_multiplier_after,base_asset_reserve_after,quote_asset_reserve_after,sqrt_k_after,base_asset_amount_long,base_asset_amount_short,base_asset_amount,open_interest,total_fee,total_fee_minus_distributions,adjustment_cost
2021-12-12 21:42:14-05:00,129,0,233950,428754188895267376,309075928913522747,364029668033209573,233950,433041730741344630,312166688171750381,367669964713541668,29792335554275712,49658203190798768,-19865867636523056,578,105912578222,83326303857,168911666
2021-12-12 21:50:35-05:00,130,3,63127,855254549989388457,825670874551233001,840332536710116676,63127,898017277403332424,866954418196227563,882349163545622509,47681903257581873,34873816688319020,12808086569262853,70,12260406678,23027832973,54071243
2021-12-15 00:23:06-05:00,131,0,233950,443967455499097932,304484487045315962,367669964713541668,233950,448407130009692165,307529331885320672,371346664360677084,33837718406516436,64629310800792794,-30791592394276358,767,118940013930,93225931562,391416598
2021-12-15 00:24:50-05:00,132,3,63127,917317469908800574,848713855288357163,882349163545622509,63127,935663819215244838,865688132309252920,899996146816534959,48916408875511418,55408514811716715,-6492105936205297,84,20896151678,30939899512,5335305
2021-12-15 00:25:19-05:00,133,2,4320000,14245469762007056,12704451517279456,13452913436586484,4320000,14259715230344516,12717155967526290,13466366350023070,701831857070124,1650982166351687,-949150309281563,299,27630163027,18188092692,27933120
2021-12-15 15:28:48-05:00,134,0,233950,427727046001909003,322398002232446861,371346664360677084,233950,432004316419155388,325621982222531529,375060131004283854,39520736657237212,49632245043730408,-10111508386493196,801,124992086746,99300063602,43767600
2021-12-15 15:29:33-05:00,135,0,233950,431473022550995924,326022936584232739,375060131004283854,233950,435787752733358580,329283165917472772,378810732314326692,39952030064631569,49532244582965301,-9580214518333732,802,125001467064,99270514406,38929514
2021-12-15 15:30:33-05:00,136,0,233950,435361854534991597,329605291372588677,378810732314326692,233950,457129947218204991,346085555908257581,397751268930043026,39932055438843188,49086371758809937,-9154316319966749,799,125012895162,99112719450,169223054
2021-12-15 15:31:12-05:00,137,0,233950,457761887864840214,345607784591651467,397751268930043026,233950,462339506697712427,349063862403007203,401728781619343456,39300114792207965,49086371758809937,-9786256966601972,799,125024072621,99085702700,38194209
2021-12-10 17:14:25-05:00,106,3,63127,272065452012929572,271436667853561629,271750878071189817,63127,296551342666886688,295865967933238508,296208457097596900,60565899214801791,52447111640729368,8118787574072423,82,7815275595,18709728325,119078607
2021-12-10 17:15:32-05:00,107,0,233950,414391777286866273,307310171478468004,356856845439868222,233950,418535695018295758,310383273162521666,360425413894266904,29509690366957948,43389395770443790,-13879705403485842,526,96405960104,75358277747,85457724
2021-12-10 17:16:32-05:00,108,4,86706,582726473772021471,570659375673402818,576661361382141950,86706,611862797402349897,599192344400007021,605494429451249047,2367131079204494,8432243469084015,-6065112389879521,19,1613493579,1393725706,26050038
2021-12-10 17:17:41-05:00,109,2,4320000,13763294356839901,12762490331333617,13253449028704482,4320000,13832110827247771,12826302781714036,13319716273848004,769180825457863,1442647463571799,-673466638113936,286,20623807251,14178328506,72588960
2021-12-11 21:24:22-05:00,110,3,63127,307688429016670676,285156807282425126,296208457097596900,63127,310765313306837382,288008375355249377,299170541668572869,47133739347259256,50152038122970821,-3018298775711565,75,9797436306,20764537710,1749060
2021-12-11 21:25:45-05:00,111,3,63127,310735403850543019,288036097249209172,299170541668572869,63127,340255267185271065,315399526459080433,327591743127087291,47133739347259256,50122128666676458,-2988389319417202,75,9797611306,20749850531,14862179
2021-12-11 21:26:16-05:00,112,3,63127,340189314280139744,315460673396315062,327591743127087291,63127,372507299102734088,345429437337418925,358712958724160583,47135448047059054,50057884461344935,-2922436414285881,75,9797997308,20737274540,12961993
2021-12-11 21:27:38-05:00,113,3,63127,372670340952589392,345278313341847584,358712958724160583,63127,408074023305818350,378079753074795273,392790689802955838,47133739347259256,50219217611400441,-3085478264141185,75,9798951308,20725058607,13169933
2021-12-11 21:28:16-05:00,114,3,63127,408044104414045730,378107474968755068,392790689802955838,63127,446808294292575663,414027685052976051,430105805334236642,47133739347259256,50189298719627821,-3055559372368565,75,9799126308,20713453919,11779688
2021-12-11 21:29:05-05:00,115,0,233950,423233168625772186,306938322917026533,360425413894266904,233950,427465500269706590,310007706115502966,364029668033209573,27747761113096802,46324940124059072,-18577179010962270,549,103102741599,81151786996,149774790
2021-12-11 21:30:13-05:00,116,2,4320000,13767526496841120,12886471775196377,13319716273848004,4320000,13905201760432778,13015336491659693,13452913436586484,744793339437427,1353675647144712,-608882307707285,283,23269719824,16149825754,117961920
2021-12-11 21:43:39-05:00,117,3,63127,446281014537072453,414516857666695808,430105805334236642,63127,488677710873466234,453895959103580223,470965856840989122,47133739347259256,49662018964124611,-2528279616865355,75,9805214307,20712176639,7365279
2021-12-11 21:45:06-05:00,118,3,63127,488487450955778197,454072746139075281,470965856840989122,63127,534893758747728380,497209656976880158,515707613240883088,47135444225792933,49473463924970251,-2338019699177318,75,9806330310,20707543793,5748849
2021-12-11 21:45:19-05:00,119,3,63127,534897167813560713,497206488196077113,515707613240883088,63127,534897167813560713,497206488196077113,515707613240883088,47133739347259256,49475168112268907,-2341428765009651,75,9806350313,20707563796,0
2021-12-11 21:48:14-05:00,120,4,86706,610212955856846532,600812389474244441,605494429451249047,86706,668183186602225656,657889566414216423,663016400249117706,6163443095263421,10578713939639577,-4415270844376156,23,3607448600,3092950590,23991897
2021-12-11 21:49:23-05:00,121,3,63127,534889840406977080,497213299381894853,515707613240883088,63127,585704375192150918,544448562773453534,564699836498766981,47133739347259256,49467840705685274,-2334101358426018,75,9807529313,20703514555,5228241
2021-12-11 22:22:42-05:00,122,3,63127,584342839042199828,545717144175878214,564699836498766981,63127,642192780048943327,599743141394718442,620605120312144912,47142263844282393,48114829052757321,-972565208474928,77,9835603155,20729534416,861684
2021-12-11 22:22:59-05:00,123,3,63127,642192780048943327,599743141394718442,620605120312144912,63127,642192780048943327,599743141394718442,620605120312144912,47142263844282393,48114829052757321,-972565208474928,77,9835603155,20729534416,0
2021-12-11 22:24:22-05:00,124,3,63127,641879976999869567,600035410292491684,620605120312144912,63127,705426094658668656,659438915851444819,682045027223047258,47142263844282393,47802026003683561,-659762159401168,77,9837488159,20731058965,360455
2021-12-11 22:25:41-05:00,125,3,63127,705426094658668656,659438915851444819,682045027223047258,63127,775263277959334243,724723368454793964,749567484918128936,47142263844282393,47802026003683561,-659762159401168,77,9837488159,20730731273,327692
2021-12-11 22:27:03-05:00,126,3,63127,774871519677025984,725089773180300401,749567484918128936,63127,851583800047564404,796873660652641163,823774665925023700,47143957956782241,47411961833875150,-268003877092909,77,9839801162,20732995794,48482
2021-12-12 19:54:05-05:00,127,3,63127,832746909682877327,814899091583909186,823774665925023700,63127,841074378779706100,823048082499748277,832012412584273937,49709089135693783,31140202648099615,18568886487594168,70,11800908619,22642825585,24237169
2021-12-12 20:34:49-05:00,128,3,63127,841937137554475612,822204679918296128,832012412584273937,63127,850356508845826654,830426726635258621,840332536710116676,49622102456042600,31915974743217944,17706127712824656,71,11995424521,22815317422,21804824
