ts,record_id,user_authority,user,direction,collateral_before,cumulative_deposits_before,amount
2022-05-09 19:40:10-04:00,198657,5egKCqdMhLDSqwH3ajm9xww6611ViEB72hv1DevbYXm7,CT9gEhXFpXHbgXJDUqGjKy6eTLbQjDnBp6cvJsKLJm4p,DepositDirection.WITHDRAW(),5182496080,22453720000,183000000
2022-05-09 19:40:21-04:00,198658,CSm671LEjgj1CKryMgcLRBQpQY7WStFxv6VWQJZVYWxo,7hfMbAXTA8UnESNMsRwsA22JWCCcbyGD1GNFo4sZ9sTa,DepositDirection.WITHDRAW(),3072404188,-35817000000,200000000
2022-05-09 19:40:27-04:00,198659,GNULF4HKRSqzv9sZj2zG6Xkw25h4DbC4vCs2Hh5WJJwu,8antvTAai63JDSzTDxSrQvBD4t29ojJ4V6SxwbsgTcSy,DepositDirection.WITHDRAW(),10381239841,10400000000,200000000
2022-05-09 19:40:35-04:00,198660,CSm671LEjgj1CKryMgcLRBQpQY7WStFxv6VWQJZVYWxo,7hfMbAXTA8UnESNMsRwsA22JWCCcbyGD1GNFo4sZ9sTa,DepositDirection.WITHDRAW(),2872404188,-36017000000,200000000
2022-05-09 19:41:00-04:00,198661,GNULF4HKRSqzv9sZj2zG6Xkw25h4DbC4vCs2Hh5WJJwu,8antvTAai63JDSzTDxSrQvBD4t29ojJ4V6SxwbsgTcSy,DepositDirection.WITHDRAW(),10181239841,10200000000,200000000
2022-05-09 19:41:14-04:00,198662,D2Suy1ThFuJTHCvb46yDyBMP2cBEYhbBRmUWkr9qLto1,FimQacEtDrLbyyJgfdTJDMDjz7m3hxySf5GeQCjPUoX8,DepositDirection.WITHDRAW(),15873768283,-27244040000,5000000000
2022-05-09 19:41:24-04:00,198663,CSm671LEjgj1CKryMgcLRBQpQY7WStFxv6VWQJZVYWxo,7hfMbAXTA8UnESNMsRwsA22JWCCcbyGD1GNFo4sZ9sTa,DepositDirection.WITHDRAW(),2672404188,-36217000000,200000000
2022-05-09 19:41:32-04:00,198664,EepiqRr24hEEGbeJJitUMTtAxA3kmAwFGMBUiVjxkk9V,D1T7Nt5gqN1g6HwtJtHbr1kVyLXqLhCSQdiS3zPBQkFP,DepositDirection.WITHDRAW(),327153223,-190324168,32589992
2022-05-09 19:41:32-04:00,198665,7camAHTnK5mb9Hpa8wyeFSvxNzAkdCMLua4ZJD3RR5tv,9AAjWCEYZH1VSw1tRzCXeTKTynPfhmjsKYuWbsCxjdPi,DepositDirection.WITHDRAW(),40826088,31257584,3542666
2022-05-09 19:41:32-04:00,198666,EryuupucmRL1882nQJDo8yTRk2rRoTUf2Dae5u751FwY,DMo9Am3QqrYEGnurnq8vQmjhQwfhZwWHCPr6VUNb4ML,DepositDirection.WITHDRAW(),921266175,558001565,243971490
2022-05-09 19:41:32-04:00,198667,HovWxyCjuVp7JBjTXQLKHGPK5D4EdjhtSrqjBXwEihCP,77nhmqSKnJBfuZbMTUPTuX1eDMpQwVvPLckpJZdNWC11,DepositDirection.WITHDRAW(),29584437,31822116,2744175
2022-05-09 19:41:32-04:00,198668,Gm1S4BPmeKJUXEyGMHYmjbvYHghgnbFXkqDdbZ4zccih,8exVLgJ2uuSTivY3CGruLgjDPrtebmQD5rpMa1sFMyL4,DepositDirection.WITHDRAW(),127834419,119770854,23216581
2022-05-09 19:41:32-04:00,198669,9kqwRQNXYvV3zjDr1icjRuZ3SQixZz18EAdecvbdeeg4,38d5S5gFXgXiy6DA6RSmmnFXacNPYm2JT95KnA8U8LqC,DepositDirection.WITHDRAW(),163073845,-2465791331,110133880
2022-05-09 19:41:32-04:00,198670,5PVprGsyAv9mUJ9yLTfChVBFirCLVWZhERR99urbur5d,9uBbUd5CvJjKzgLgruh6C1xc2aHwcBpma3Y9WWxhkJRa,DepositDirection.WITHDRAW(),19735306402,20344716052,1262763642
