ts,record_id,user_authority,user,market_index,funding_payment,base_asset_amount,user_last_cumulative_funding,user_last_funding_rate_ts,amm_cumulative_funding_long,amm_cumulative_funding_short
2022-05-07 11:25:05-04:00,704513,AKSHkREAwG3wJKd7A6EkEsKQhYo5PFtSrdA2zuEhP1rX,EZ7EeRvy5cVTAWmgYPCKhLMyENUmWvT6ZJAmawJhyh7H,5,30257480032255,-2126485568634156,1877171141675503,1651932161,3508143380815134,1878594028361336
2022-05-07 11:25:19-04:00,704514,CaHKgyVaqGoa4iVstiqpJNAFXvLCFGPJgixLDXyhkhxF,EMgmuXzumV4XLHw2AtkA49qNiU2K41o1W1f1gTH1udP7,0,1254335037877,1015930000000000,1631287892304764,0,1631164425625182,559734715728956
2022-05-07 11:25:19-04:00,704515,7qoyhrmATznidVxE316242BTzQLZY29L2miCmaMz8RiF,BNzT2pZcN6SXZuhtVuFjPECbb9vfPUm4XDHUuxPxcPy,0,-84157402678,-72900000000000,559850157982287,1651914136,1631164425625182,559734715728956
2022-05-07 11:25:19-04:00,704516,7qoyhrmATznidVxE316242BTzQLZY29L2miCmaMz8RiF,BNzT2pZcN6SXZuhtVuFjPECbb9vfPUm4XDHUuxPxcPy,4,160492661114,-196200000000000,141801327572239,1651914015,308490558774829,141883128113072
2022-05-07 11:25:19-04:00,704517,7qoyhrmATznidVxE316242BTzQLZY29L2miCmaMz8RiF,BNzT2pZcN6SXZuhtVuFjPECbb9vfPUm4XDHUuxPxcPy,1,1034761440482,-156000000000,534370332099125260,1651914287,1086690601895749202,535033640714819425
2022-05-07 11:25:19-04:00,704518,7qoyhrmATznidVxE316242BTzQLZY29L2miCmaMz8RiF,BNzT2pZcN6SXZuhtVuFjPECbb9vfPUm4XDHUuxPxcPy,3,-405266902867,-39700000000000,-623489144589067,1651914055,-565512749230404,-624509968021982
2022-05-07 11:25:48-04:00,704519,4ZYoYDQLtkVHbrbSu6JB2mbNnRvq8Z2kHJ64V3DXTCvG,3v858D44FGg93k1WSrVCGnbPguCAmeVkBu8TXJPwYF1W,0,-64202673382,-52000000000000,559858182408538,1651924807,1631164425625182,559734715728956
2022-05-07 11:25:48-04:00,704520,4ZYoYDQLtkVHbrbSu6JB2mbNnRvq8Z2kHJ64V3DXTCvG,3v858D44FGg93k1WSrVCGnbPguCAmeVkBu8TXJPwYF1W,4,-19796972321,-71300000000000,141910893852654,1651925091,308490558774829,141883128113072
2022-05-07 11:25:48-04:00,704521,4ZYoYDQLtkVHbrbSu6JB2mbNnRvq8Z2kHJ64V3DXTCvG,3v858D44FGg93k1WSrVCGnbPguCAmeVkBu8TXJPwYF1W,1,876277105610,-158000000000,534479034951774843,1651922657,1086690601895749202,535033640714819425
2022-05-07 11:25:57-04:00,704522,4aXJ5mh6yJTx1zF3veUaTYDfa3AxUGT7P5gbJBshLhuE,CuudHjVNw3q7m5a1rQ2MtrEUrAhR119Kciv9krrAcG3K,2,161985978666,20000000000000,51550719264794738,0,51549909334901405,40993175143640574
