ts,record_id,user_authority,user,partial,base_asset_value,base_asset_value_closed,liquidation_fee,fee_to_liquidator,fee_to_insurance_fund,liquidator,total_collateral,collateral,unrealized_pnl,margin_ratio
2022-04-28 11:46:59-04:00,16385,AQr9mVmcXCNQhBVCfx63MwR6c4WqDSC9K2BZqr7N8LCx,CB7TWUaL381ounsLw6neAUaKRxJL9P1HC9uGX5e1Uxod,True,225603736,9584776,50473,25236,25237,2a35JJeTUW1pm6M3e8DHCjp8qr4vbc2cRPhuzZWyFzYd,11880322,63156239,-51275917,526
2022-04-28 12:12:16-04:00,16386,BTwSuuDHNhQAFAzBZRWev5j1ix2RTWvjZAxLpw8grAxu,31NCyUpSXxxJYLSrdK3c5bLomUtMejobMfYnq7j71GtM,True,58429516,14607379,90683,45341,45342,68sueyVfmy5ToEGtLFGDkwebX47xAmzyXE29z8JrmcWv,3627334,15012342,-11385008,620
2022-04-28 12:22:12-04:00,16387,4e73KnWFY3sY2b9WbURTUj5xY1RJS35xy2TvHu379pZ8,13iaT7iXeqaVPyhRCPXFzhpVYNEvDS8in1qDE2ZthykT,True,6743823454,1685955863,11983599,5991799,5991800,DQCvC9mR68hJ3tJsUiddh6JwcBJAmntqGJR2nUsEq7yj,479343988,1194945315,-715601327,710
2022-04-28 12:22:13-04:00,16388,958fskVpeZ1XAq99DX717S89owyq3ospoH6KVfS1Kt3j,7zFRz2kJv874nkBTnKd2xUXwfLuHXtJpzTorvAZzgix6,True,1087359058,271839764,1893088,946544,946544,GXyFXZMNk2NFyEzw6JetVqsujqcz2yCixH7n8EpDJYWD,75723557,384328524,-308604967,696
2022-04-28 12:39:41-04:00,16389,CzWT7zuiD3Usn1DB8C87kZ3yaLcAd1GXe62cZ5xDdEKa,2AsTxJr8dyhHmccUngu2f6beGE9iiXH4yXhmQ48SpCXm,True,34463501,3085717,13808,6904,6904,2a35JJeTUW1pm6M3e8DHCjp8qr4vbc2cRPhuzZWyFzYd,1542222,8822884,-7280662,447
2022-04-28 12:45:19-04:00,16390,5V5gFVMYSwGYfHFecRoHg8G22Rg4bXfVK2FSRTMhPQty,73raXd5MvixmDvJRnVjRL7yQaHZGFRiC9aBxL9ysiRvy,True,139425404,34856351,244389,122194,122195,6UQfSsLooL4pQKQfLtXCutQS2BnF7A7F7ewJopDLmUpc,9775582,26404321,-16628739,701
2022-04-28 12:46:26-04:00,16391,958fskVpeZ1XAq99DX717S89owyq3ospoH6KVfS1Kt3j,7zFRz2kJv874nkBTnKd2xUXwfLuHXtJpzTorvAZzgix6,True,830523123,207630780,1470666,735333,735333,68sueyVfmy5ToEGtLFGDkwebX47xAmzyXE29z8JrmcWv,58826640,305342844,-246516204,708
2022-04-28 12:46:34-04:00,16392,4e73KnWFY3sY2b9WbURTUj5xY1RJS35xy2TvHu379pZ8,13iaT7iXeqaVPyhRCPXFzhpVYNEvDS8in1qDE2ZthykT,True,5170381042,1292595260,8871173,4435586,4435587,68sueyVfmy5ToEGtLFGDkwebX47xAmzyXE29z8JrmcWv,354846938,1006877405,-652030467,686
2022-04-28 13:29:17-04:00,16393,FQnJRA6XCLRpcexUyy5kpxtE1mRcbKZCjQvAo388Xbqc,Hibg8j63eP7oE4HjgviWD77oMLHNcnrib9kYL7q4Uetz,True,6609527849,1652381962,11779266,5889633,5889633,A9TwRM1BMxqb8DCC7YNAMV6zPenEJm3HTZBy7wJKK58U,471170670,2181214003,-1710043333,712
2022-04-28 13:29:59-04:00,16394,8RQrftvvDMztkaUK7USZjeA4bkhJZLX9f1jygdWrsYgb,6bJLycnh4ZHEJtsUZkoygZVp24C8uYDXLedEyzH9iQWG,True,213393423,20060830,131476,65738,65738,68sueyVfmy5ToEGtLFGDkwebX47xAmzyXE29z8JrmcWv,13985610,50841089,-36855479,655
