,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
initialized,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
base_asset_amount,-106198.13975352402,-109.1138137657533,-544.3757836497027,-146741.94280361108,-97225.38316933114,-6788.46254808208,-3283016.090889646,-230933.5817968746,-163948.80242785605,-2174655.3602586873,-2078652.5613996352,-38567.477611361996,-14823.638453744094,-2586742.629744801,-40923.5654280489,-2117523.2964542382,-112517.27186388701,-263774.5572049907,-238771.66650616715,-67755.25994730149
base_asset_amount_long,11266.627259475015,7.0946173384211,129.3023599189126,26139.88246183678,3451.2049177144886,338.0368304718959,169866.23893782013,12861.538991698464,9778.207163802497,155488.6626873327,172825.75779468348,1661.093442829057,974.2918066472232,119945.94829320998,7456.5086505486925,590909.1203736163,19836.74951681379,22222.196621306244,81403.96172688948,14596.432222996355
base_asset_amount_short,-117464.76701299904,-116.2084311041744,-673.6781435686153,-172881.82526544787,-100676.58808704562,-7126.4993785539755,-3452882.329827466,-243795.12078857308,-173727.00959165854,-2330144.02294602,-2251478.3191943183,-40228.57105419105,-15797.930260391315,-2706688.5780380117,-48380.0740785976,-2708432.4168278542,-132354.0213807008,-285996.75382629695,-320175.62823305663,-82351.69217029783
initialized,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
open_interest,1127,477,215,303,245,80,68,78,54,51,42,51,37,36,42,32,60,23,79,19
market_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
market_name,SOL-PERP,BTC-PERP,ETH-PERP,LUNA-PERP,AVAX-PERP,BNB-PERP,MATIC-PERP,ATOM-PERP,DOT-PERP,ADA-PERP,ALGO-PERP,FTT-PERP,LTC-PERP,XRP-PERP,APE-PERP,DOGE-PERP,NEAR-PERP,SRM-PERP,GMT-PERP,CRV-PERP
oracle,H6ARHf6YXhGYeQfUzQNGk6rDNnLBQKrenN712K4AQJEG,GVXRSBjFk6e6J3NbVPXohDJetcTjaeeuykUpbQF8UoMU,JBu1AL4obBcCMqKBBxhpWCNUt136ijcuMZLFvTP7iWdB,5bmWuR1dgP4avtGYMNKLuxumZTVKGgoN2BCMXWDNL9nY,Ax9ujW5B9oqcv59N8m6f1BpTBq2rGeGaBcpKjC5UYsXU,4CkQJBxhU8EZ2UjhigbtdaPbpTe6mqf811fipYBFbSYN,7KVswB9vkCgeM3SHP7aGDijvdRAHK8P5wi9JXViCrtYh,CrCpTerNqtZvqLcKqz1k13oVeXV9WkMD2zA9hBKXrsbN,EcV1X1gY2yb4KXxjVQtTHTbioum2gvmPnFk4zYAt7zne,3pyn4svBbxJ9Wnn3RVeafyLWfzie6yC5eTig2S62v9SC,HqFyq1wh1xKvL7KDqqT7NJeSPdAqsDqnmBisUC2XdXAX,8JPJJkmDScpcNmBRKGZuPuG2GYAveQgP3t5gFuMymwvF,8RMnV1eD55iqUFJLMguPkYBkq8DCtx81XcmAja93LvRR,WMW5xc3HypXwTnPesyUT49uLsyHwNURsWAEk39onKuk,74zeQpprjNtEghGiC3VEPsR9y4kR2GTd4Rq9YVk9tnjz,FsSM3s38PX9K7Dn6eGzuE29S2Dsk1Sss1baytTQdCaQj,ECSFWQ1bnnpqPVvoy9237t2wddZAaHisW88mYxuEHKWf,3NBReDRTLKMQEKiLD5tGcx4kXbTf88b7f2xLS9UuGjym,81kbdwDfTNsg4d5D1BxE9FHEdxEMk8xCJUj5ujjWQyvd,61NzdQ9y6KhMhWxyJ8kXEe25NxdixVL1YUnGYLDMaUxH
base_asset_reserve,291909.33805923315,449.2854000689851,2256.3066160589174,519525.2540977453,360052.84188005194,34049.147890701934,9635835.128288219,605409.0949486587,551720.008072242,11149409.736596782,11160653.488569917,262770.83463695983,106213.39967765025,12407847.163126266,190720.29696277704,20467978.81922748,500398.8396410015,1195829.7833111743,1225613.771769325,871613.780847623
