,user_position_pubkey,user_authority,position_index,market_index,quote_asset_amount,base_asset_amount,last_cumulative_funding_rate,entry_price
0,CBjKuCi8hutfLJGt9er3RFkfQyeSabUFNfCdeZCnTBMx,21gZNPAUqVUhAVhjJzVUwrwNfgF48xesZ6tm9ndTHPUh,,,,,,
1,Aet5js9Ur2946fTiB8krAK34sDq2QgPpFbxiKd7UeYia,CmE8LsVhyVVC9ZWtVPvUE82xCHiWWUey6tDyZH2M9imB,,,,,,
2,BSETLNwuzzqK6sUVNamf6AYgMEQL6cnDiG4u387pZghp,J612iVZ4KGrYJbuXAcbbxvDvp2qQG8XJaiau5Uu6cJLR,,,,,,
3,Bax3ybWnawNP13ZghFg9mWHVaoo9hGdah11wj82k2YWQ,DCgsQbdxSRAfkZvMT8jVWVsaPwsYGKnnxTEUBtbSSiBT,,,,,,
4,A1RUY2UDVaJeLr2a6foo4B1CgKRLYesKcor5AyqH1Zjw,FEEormb9ykJuYekhcH1X2vXSxvFC5ekxZxWL5u7wJieo,,,,,,
5,7rV4o2ndZRYcUqHXaETXPPxrwRPhwFVqt5UZXjCDD4c2,BJQPvz7nXYumF2m7vdyJujYk9ejQ9sYM9Wczs5sXqb84,,,,,,
6,5b8Sk7Qc3FtJXdgwbTZmbnqhLSvZ3rc5pdHjw6b9QzEQ,Gzb2Xra7D89kvumzRErF4XpCBScJPb7rm95wgLmGWFM,0.0,1.0,1.9,4.0430398e-05,4865.742049749402,46994.34321670541
7,6gJ1xLxAQ1HW4WRpBx7LhHiQuqqdMvLxSdeeNUS5NFsi,5XcrJqz4M3F7d5SruWRSWLH8zY6cDVwTXbqcA2Y5YLBS,,,,,,
8,eABYQDLDnxRMuHYnjj2cJpYHpXnCySzU2QgsvkzEMFH,FEJQubMN3GLUEhbgiXKeZsqcDiRnGuApywz5NudsAFpp,,,,,,
9,73ThpZsbNheCeoeZ2UC98mvENSREhAr7ebxMmofwRBmQ,BSvRYB6s4x1sXrK6HqfirUpTUXv4qzakNzaTZwgkPBFQ,,,,,,
10,DoD6F3HkDK3j3aRuWEN97ZrH5VxpKraC51y9vxoRWNXG,S33eAqE3haoEMk8vdVmSg2FmiYMKY8bYjTyiK3frCc4,,,,,,
11,AMqLEmYQZRhhE7dRQQ21QYfBbthnAVQvmPh9PNbyavta,E3uCNxXMRHD2ayCY48Kafwy55443r3p1EijT92ug26yd,,,,,,
12,2n9GYmY1a51McDk4jATsDUuKDRWXrLwPeoWqY8uzgCHa,F1eTxRz81R5J7jSd9S6TXZ3zZkocgbA3YoBn3BuaAn8x,,,,,,
13,6B3NNQcdjk6FAX1RYcwGLkuxe6YfBwzdwHskQQBvw5iS,6Aq1F7RmqF4HoFMnkvWX6QXhcxqW2fjEhv4ToK3isb2v,,,,,,
14,4kbpY2oH8NrYH1rHa6kDBwXhiBvYNYD7o3satMJZHeDB,Af9xjrgoVihS3e2Z9pKy8jZY7AbtDDzUdm1E6oi3vudW,0.0,2.0,56.0,0.0140160401729,13.45304790913741,3995.422338206189
15,4kbpY2oH8NrYH1rHa6kDBwXhiBvYNYD7o3satMJZHeDB,Af9xjrgoVihS3e2Z9pKy8jZY7AbtDDzUdm1E6oi3vudW,1.0,1.0,56.0,-0.0011737990991,951.025514290083,47708.334452580086
16,Eq9rbKDJJhRDf6Yj62N4WPxt9yoUeeaUmre6zKTB42x7,5PzHnrLJYBxecUEcpy1HAskTtCugwr1iVvf2tVhgp7Ki,,,,,,
17,4dDPn56EKZdKDVFFJBYHBUcNzdxGmgLjmFYjzDr3XAx3,CvmTCY4bS72WT6EM1URe9DFQhSoupbSdytuRSPjZgrpk,,,,,,
18,612R2qLZuA4GCc3BA6HLvqaHajeyWMYKcjeaDL8vsjJF,AXHLg7b7LMv2BdF2EuUN3F5CkUqEcxrN1fBeoa72mWm,,,,,,
19,7k9tcMQAFWBZZLiC8wMNaHLZYwPbwcGbtQD7knSRCLVo,HrMU97x35iest4SbaLBFJZVhKJa5xtNrFMRmZ25fekzk,0.0,1.0,23639.84,-0.4756344609209,3208.5949723722542,49701.69729550232
20,2nzfT1waXkLdSVr6j8fMr8KBnkc1J3qd5oSS2WNYEBJF,7qUAnGjCwfK8muZV2UWd7AsqbGZm9ZvRUS1KatobiZEQ,0.0,0.0,0.5,0.0027756913581,1.65353326495365,180.1353016216677
21,9k5WdvE2TzBx4VzkYtbPWWfvsd7r8R3keVbG2BPbnQpo,BE7hYBnGCw4FdEezbYp6bZeyUE98P2ZyfZURuLPHYwqS,,,,,,
22,Gbfrhr9gQoQABqNFuQ2zH35raucEqjm8WgNWkhGmqB9Z,9xU7i4H3pY8LZkwspeLVNaQuL8PsAvyjpex1fnr28KxH,,,,,,
