,Address,collateral,cumulative_deposits,total_fee_paid,realized_pnl,~roi
3708,4CLaLrTr7juGATt6FAaw8JksSNGdTEGaA78otYJbdHDs,264395.972,84511.5,374999.0,179884.472,2.129
318,EntLemtuTqmuHY9F4pycmGmNwBNeUghf9R6QHHd7ZTYw,111684.755,50000.0,120586.726,61684.755,1.234
204,7ZVPidz43dLjX2GZp3Yqu1jbmDqA5qtSiWkY8f6VXfLP,55140.68,-33.46,89325.45,55174.14,inf
6213,arbJEWqPDYfgTFf3CdACQpZrk56tB6z7hPFc6K9KLUi,204896.717,156072.1,88167.732,48824.617,0.313
6141,dsXDNhsw5LHYoaFivThPKZZkpgw4MBfv7PYAy5Dmdyb,30289.28,16500.0,47429.871,13789.28,0.836
264,DXgo3PMFzUTdvW8xrj7w8Ks7L9XGK7VRVbM748pisja3,56158.977,32046.0,40139.556,24112.977,0.752
2617,DSqzzguyNfRpgFkQKAQ8kjKjY6CftZ4FFKCyeB5rJZXF,244270.529,150000.0,35588.746,94270.529,0.628
6433,9jKFB8DSn7QEkd1sEV3AGtTy9pbbUEyEhxQhDRtc5o7Y,13530.376,50000.0,20340.686,-36469.624,-0.729
2224,4gBtJuP1YGxaKbr4TCd1K4SJ66xqgAM64sPavrojJF6g,38080.979,24977.68,19683.758,13103.299,0.525
3374,ARbcHRYtT68oE86E7gS7fEbqrzBtmg1cGGBy5X8hJaD7,18716.109,26547.0,18103.666,-7830.891,-0.295
4044,9Q1mhzyzkKsJNdrAZqYxJ26nvsZQT2xCdewXQU7yHPP2,40220.99,26041.64,16149.507,14179.35,0.544
5769,9JZBFFR9zPs12gdwr1bQfm6dNogbzJA1e4VjkuDdFPCT,55122.69,41717.96,14878.098,13404.73,0.321
845,H69q3Q8E74xm7swmMQpsJLVp2Q9JuBwBbxraAMX5Drzm,531.817,-15258.36,10962.386,15790.177,inf
1425,GQmAKyJBTjDhfECzSTj2n2URTPcEeSMErUxAEg2DpEEK,258347.315,217864.305,8901.137,40483.01,0.186
4289,4aXJ5mh6yJTx1zF3veUaTYDfa3AxUGT7P5gbJBshLhuE,0.004,-2039.82,6846.089,2039.824,inf
2687,9PaH4MCn4Pj2nhx1Ws3bMb1KBZ1yUBCvF3H425bWAPHe,13413.59,28265.64,5740.793,-14852.05,-0.525
6771,D2Suy1ThFuJTHCvb46yDyBMP2cBEYhbBRmUWkr9qLto1,14556.468,5273.56,5670.09,9282.908,1.76
1388,Fw3it9yQjPpKdtyqSoqBDEV9BRengbU4Ag8Vgv7FBqKb,133154.833,150000.0,4714.91,-16845.167,-0.112
3228,FTxtGRw4vNScb6Kyg1fJGcBmdujJywGuhLkfPy8amqTi,10882.181,2634.21,4460.309,8247.971,3.131
4939,3a5yxcHXbWLGfnoaVTSUFhNerL97sm7K4axe4Pr4ftfz,2231.658,-1100.0,3172.434,3331.658,inf
4224,GJmom1dyridk7QkcvxYr1jUeQr6sT5yMnmQ6LJEqSq22,36689.871,39855.38,3148.142,-3165.509,-0.079
2289,39aCtgqAVeg2GKp85ZNdL3iJB3H9uNak4PdTTHDz23zk,20067.447,12096.35,3042.663,7971.097,0.659
1735,8RcYLmYTfM9ZDc6PfMwWNyP6kMR3iQVe1LG4oki9vPyY,1859.775,-1550.0,2817.757,3409.775,inf
3992,3sJpudtTsrXdQPKyoKtZLAiX8nskkGrc13ux7EzYHet5,1913.501,-1600.0,2680.304,3513.501,inf
6201,6gNiF839mJ4WE7SL9rBE9W9S46kdec2CvhBngPayfsqN,1612.399,-2600.0,2580.837,4212.399,inf
1915,5MB1e1MJcPsGHhpLPEGsh2Qeq6feVACR4rP426GUR3so,0.007,-915.71,2552.223,915.717,inf
2852,DpHu9SpUncfZjwDqHvD2veKj2sHXxTKey37ASKACFtyH,1688.562,-1500.0,2479.654,3188.562,inf
1866,6pUtYz474QrpATEZnfb3iFbTKYA65pNyKAo4TQZAjtqe,23661.61,59878.0,2405.821,-36216.39,-0.605
5309,BFZiaPZ67GDK55op7V1RrXjXyH9TawyFiaRG1pAvLZb4,120.37,1616.49,2400.203,-1496.12,-0.926
5490,EixYycpq2qVBMY4zNAj8bWU5KFvH9mCN4ETnEd7PgqmR,19882.587,17762.88,2263.152,2119.707,0.119
2502,2Ga6hzy12f7oFvS1zSYvUmvA5fLWiNP9ep5q4NdruTci,29116.456,27500.0,2021.29,1616.456,0.059
3463,EQtJKfMjVmSoAwv9q5D34Do1YmSBxjsveMisDQT97nQM,1668.963,-800.0,1962.675,2468.963,inf
953,51V48WEtz4Dybf4Y5uWwRB8GcH7CDAPqq27x57zUmYN5,138785.736,100000.0,1840.672,38785.736,0.388
1805,FJjUR8SK7SPpzLjDTENGeaKjcgvnZkQFJdq8nQf8JsuQ,59689.654,50000.0,1746.625,9689.654,0.194
4600,HvyrKkodu8B7zP7SHD3ch2PqGixTdYbibK9DadXkrucM,1441.292,500.0,1705.553,941.292,1.883
3979,3A5AuwDWP4fT7RUqNBj51AxdS4uYkjEZmFYrykBJPp1X,19234.105,23202.86,1705.22,-3968.755,-0.171
210,FUG9tcLbLgaRB1WtF9FYRM1zNwRJ2yiWufUAGKbnCABH,0.009,10749.53,1702.43,-10749.521,-1.0
